id,brand_id,brand_name,product_name,categories,discount,discount_rate,list_price,price,rating_average,review_count,stock_item_qty,stock_item_max_sale_qty,short_url
198939370,939827,AVIANO,Bộ Thể Thao Nam 3 Sọc Mùa Đông Da Cá Chéo Thời Trang Thiết Kế AVIANO,Đồ mặc nhà nam - Bộ dài,299000,50,598000,299000,4.5,12,1000,1000,https://tiki.vn/product-p198939370.html?spid=198939372
48275273,111461,OEM,( Ảnh thật ) COMBO 05 Quần đùi nam chất mềm mát (mẫu caro < 80kg ),Thời Trang,0,0,93000,93000,4.1,27,1000,1000,https://tiki.vn/product-p48275273.html?spid=77962821
186133766,5003355,US ARMY,"Quần Short Kaki Nam US ARMY, Quần Túi Hộp Nam Phong Cách Lính Chất Liệu KaKi Cao Cấp, Kiểu Dáng Trẻ Trung Năng Động -HÀNG CHÍNH HÃNG",Quần kaki nam ngắn,299000,50,598000,299000,4.7,65,1000,1000,https://tiki.vn/product-p186133766.html?spid=186133768
47207912,618559,Nexx & Dee,Áo sơ mi nam tay ngắn vải Oxford cao cấp phù hợp công sở trắng ND014,Thời Trang,0,0,219000,219000,4.7,56,1000,1000,https://tiki.vn/product-p47207912.html?spid=47207938
81825319,111461,OEM,Quần đùi nam mặc ở nhà quần thun lạnh mềm mát hút mồ hôi tốt size 50-80kg,Quần thun nam ngắn,0,0,24000,24000,4.5,77,1000,1000,https://tiki.vn/product-p81825319.html?spid=105374361
101657805,111461,OEM,Áo Khoác Dạ Nam Hàn Quốc Dáng Dài Áo Măng Tô Nam Hàn Quốc Sans01 Sans Shop,Root,0,0,399000,399000,4.5,23,1000,1000,https://tiki.vn/product-p101657805.html?spid=204009158
196467846,183621,VICCI,"Áo Lót Nam Dệt Kim Đông Xuân Cộc Tay Vicci Màu Trắng, Vải Sợi Cotton Mềm Mịn, Co Giãn, Thấm Hút Mồ Hôi, Siêu Thoáng Mát",Áo thun nam ngắn tay không cổ,15000,19,80000,65000,4.8,12,1000,1000,https://tiki.vn/product-p196467846.html?spid=196467854
131568047,618559,Nexx & Dee,Áo sơ mi nam tay dài màu trắng công sở vải cotton lụa trẻ trung niên đi tiệc cưới cao cấp Nexx&Dee SM09,Áo sơ mi nam tay dài trơn,0,0,219000,219000,5.0,5,1000,1000,https://tiki.vn/product-p131568047.html?spid=131568049
20521578,418935,KHATOCO ,Áo Sơ Mi Nam Tay Ngắn Khatoco A1MN538T1-CNCR117-2010-N - Hồng,Root,0,0,538000,538000,5.0,43,1000,1000,https://tiki.vn/product-p20521578.html?spid=20521583
271592145,535627,5S,"Quần Short Kaki Nam 5S FASHION, Chất Cotton, Cạp Giấu Cúc, Tinh Tế, Thiết Kế Basic, Lịch Sự (QSK23029)",Quần kaki nam ngắn,240000,53,449000,209000,4.2,5,1000,1000,https://tiki.vn/product-p271592145.html?spid=271592149
243047494,418935,KHATOCO ,Áo Thun Nam Khatoco A2MN398R2-VNSC210-2411-N,Áo thun nam ngắn tay có cổ,0,0,398000,398000,5.0,5,1000,1000,https://tiki.vn/product-p243047494.html?spid=243047496
81513561,46674,Zero,Quần Kaki Nam Chất Cao Cấp Siêu nhẹ Dáng Âu ZERO Phong Cách Công Sở,Quần kaki nam dài,139000,41,338000,199000,4.0,135,1000,1000,https://tiki.vn/product-p81513561.html?spid=81513567
136157116,111461,OEM,"Áo phông nam, áo thun nam có cổ tay ngắn vải thun cotton 100% mặc thoáng mát - ATN04",Áo thun nam ngắn tay có cổ,0,0,83000,83000,4.5,12,1000,1000,https://tiki.vn/product-p136157116.html?spid=190548070
199519478,159835,LADOS,"Quần Jeans nam trơn cao cấp form đứng LADOS-4084 co giãn, không ra màu, hàng chính hãng",Quần jeans nam dài,164000,37,449000,285000,4.6,15,1000,1000,https://tiki.vn/product-p199519478.html?spid=199519549
140523294,111461,OEM,Quần Tây Âu Nam - dáng hàn quốc Slim Fit không đường ly vải co giãn form ôm,Quần tây nam,0,0,99000,99000,3.8,52,1000,1000,https://tiki.vn/product-p140523294.html?spid=164557486
114446808,221573,Amazing,"Quần tây nam màu xanh đen, ống đứng, không ly, đồng phục học sinh, công sở, thương hiệu Amazing, có size 100kg",Quần tây nam,100000,32,309000,209000,4.8,26,1000,1000,https://tiki.vn/product-p114446808.html?spid=114446814
198381579,418935,KHATOCO ,Quần tây nam không ly Khatoco Q1M428R0-INMA037-2111-0-XÁM NHẠT VẢI GÂN,Quần tây nam,0,0,428000,428000,5.0,6,1000,1000,https://tiki.vn/product-p198381579.html?spid=198381593
96594332,317963,N6,Áo Khoác Big Size Unisex Áo Khoác Dù Nam Chống Nước Nhẹ Chống Nóng Chống Lạnh Chống Gió Chống Tia UV Có Nón Thời Trang Nam Tính Hàn Quốc Cao Cấp AD75 - ShopN6,Áo khoác gió,11000,5,210000,199000,3.9,27,1000,1000,https://tiki.vn/product-p96594332.html?spid=96594334
73456416,317963,N6,Áo Khoác Nam Big Size Áo Khoác Kaki Nam Hai Lớp Big Size Chống Lạnh Chống Nắng Chống Gió Hàn Quốc Cao Cấp WK35 - ShopN6 (Nhiều Màu),Áo khoác bomber nam,92000,35,260000,168000,4.1,110,1000,1000,https://tiki.vn/product-p73456416.html?spid=73456438
272394470,535627,5S,"Áo Polo Nam 5S FASHION (6 Màu), Chất Liệu Freezing Siêu Nhẹ, Mát, Thoáng Khí, Thiết Kế Dệt Bo Hiệu Ứng, Thêu Chữ Nổi (APC23055)",Áo thun nam ngắn tay có cổ,192000,49,389000,197000,5.0,1,1000,1000,https://tiki.vn/product-p272394470.html?spid=272394476
132234215,618559,Nexx & Dee,Áo khoác gió nam vải dù lót caro Nexx&Dee có size lớn big size trẻ trung niên AK01,Áo khoác gió,0,0,269000,269000,4.8,17,1000,1000,https://tiki.vn/product-p132234215.html?spid=132234219
78923837,111461,OEM,"Hộp 5 Quần Lót Nam nhiều lưng hiệu CITYMEN vải thun lạnh co giãn 4 chiều màu ngẫu nhiên, sịp nam - LMTK-MULTIAL",Quần lót nam,0,0,75000,75000,4.6,99,1000,1000,https://tiki.vn/product-p78923837.html?spid=261802707
272411700,535627,5S,"Áo Polo Nam 5S FASHION PELIABLE, Chất Cotton Mềm Mát, Thấm Hút Tốt, Thiết Kế In Phối Màu Nổi Bật (APC23082)",Áo thun nam ngắn tay có cổ,216000,53,409000,193000,5.0,2,1000,1000,https://tiki.vn/product-p272411700.html?spid=272411704
197603813,246545,dokafashion,"Áo Khoác Da Nam, Áo Khoác Da Lót Lông Bo Tay Siêu Ấm Phối Khóa Đồng Cao Cấp Thời Trang Dokafashion EZAD30",Áo khoác da nam,280000,48,579000,299000,4.7,20,1000,1000,https://tiki.vn/product-p197603813.html?spid=197603815
74238547,111461,OEM,Quần thể thao nam jogger kaki mã TT33 thô túi hộp kiểu bó ống Hàn Quốc chất vải đẹp ống dài,Quần jogger nam,0,0,125000,125000,4.2,145,1000,1000,https://tiki.vn/product-p74238547.html?spid=74544000
104109417,219929,CITYMEN,"Hộp 5 Quần Lót Nam lưng Hàn Quốc hiệu CITYMEN vải cotton co giãn 4 chiều cao cấp, sịp nam - LMTK-HANAC",Quần lót nam,59000,31,190000,131000,4.5,109,1000,1000,https://tiki.vn/product-p104109417.html?spid=104109423
104904605,317963,N6,Quần short nam big size quần sọt nam thể thao quần đùi nam mặc nhà quần thun nam cotton 4 chiều co giãn cao cấp ShopN6 - TSB2,Quần thun nam ngắn,31000,34,90000,59000,4.2,108,1000,1000,https://tiki.vn/product-p104904605.html?spid=104904607
44895107,618559,Nexx & Dee,Áo thun polo nam có cổ bẻ phối sọc ngang vải vải cá sấu cao cấp ND02,Thời Trang,0,0,155000,155000,4.6,45,1000,1000,https://tiki.vn/product-p44895107.html?spid=44895117
133821238,219929,CITYMEN,"Combo 5 Quần Lót Nam Boxer Cotton Lưng Thái Cao Cấp, Quần Sịp Đùi Nam Co Giãn 4 Chiều CITYMEN - ( Màu Ngẫu Nhiên )",Quần lót nam,0,0,230000,230000,4.6,175,1000,1000,https://tiki.vn/product-p133821238.html?spid=133821242
29905248,111461,OEM,Áo sơ mi nam trắng trơn cao cấp 100% Cotton hàng QUẢNG CHÂU,Thời Trang,0,0,78000,78000,4.5,130,1000,1000,https://tiki.vn/product-p29905248.html?spid=270145746
114536014,52304,iBasic,Combo 3 quần lót nam thun boxer Espresso iBasic PANM103,Quần lót nam,69000,23,297000,228000,5.0,6,1000,1000,https://tiki.vn/product-p114536014.html?spid=114536017
